count,date,time,team,timestamp,seconds_after_start,success,person,treatment
239,2024-11-01,15:58:48.464,js,2024-11-01 15:58:48.464,1428.464,False,,1.0
240,2024-11-01,15:58:48.729,js,2024-11-01 15:58:48.729,1428.729,False,,1.0
241,2024-11-01,15:59:09.590,js,2024-11-01 15:59:09.590,1449.59,False,,1.0
242,2024-11-01,15:59:24.919,js,2024-11-01 15:59:24.919,1464.919,False,,1.0
243,2024-11-01,15:59:27.427,js,2024-11-01 15:59:27.427,1467.427,True,,1.0
244,2024-11-01,15:59:27.586,js,2024-11-01 15:59:27.586,1467.586,True,,1.0
245,2024-11-01,15:59:30.195,js,2024-11-01 15:59:30.195,1470.195,False,,1.0
246,2024-11-01,15:59:52.442,js,2024-11-01 15:59:52.442,1492.442,False,,1.0
247,2024-11-01,15:59:54.907,js,2024-11-01 15:59:54.907,1494.907,False,,1.0
248,2024-11-01,15:59:57.542,js,2024-11-01 15:59:57.542,1497.542,True,,1.0
249,2024-11-01,15:59:57.739,js,2024-11-01 15:59:57.739,1497.739,False,,1.0
250,2024-11-01,15:59:57.947,js,2024-11-01 15:59:57.947,1497.947,False,,1.0
251,2024-11-01,15:59:58.139,js,2024-11-01 15:59:58.139,1498.139,False,,1.0
252,2024-11-01,16:00:01.561,js,2024-11-01 16:00:01.561,1501.561,False,,1.0
253,2024-11-01,16:00:06.152,js,2024-11-01 16:00:06.152,1506.152,True,,1.0
254,2024-11-01,16:00:15.896,js,2024-11-01 16:00:15.896,1515.896,True,,1.0
255,2024-11-01,16:00:31.896,js,2024-11-01 16:00:31.896,1531.896,True,,1.0
256,2024-11-01,16:01:03.706,js,2024-11-01 16:01:03.706,1563.706,False,,1.0
257,2024-11-01,16:01:09.746,js,2024-11-01 16:01:09.746,1569.746,False,,1.0
258,2024-11-01,16:01:10.014,js,2024-11-01 16:01:10.014,1570.014,False,,1.0
259,2024-11-01,16:01:10.213,js,2024-11-01 16:01:10.213,1570.213,False,,1.0
260,2024-11-01,16:01:15.611,js,2024-11-01 16:01:15.611,1575.611,False,,1.0
261,2024-11-01,16:01:22.412,js,2024-11-01 16:01:22.412,1582.412,False,,1.0
262,2024-11-01,16:01:22.762,js,2024-11-01 16:01:22.762,1582.762,False,,1.0
263,2024-11-01,16:01:32.383,js,2024-11-01 16:01:32.383,1592.383,False,,1.0
264,2024-11-01,16:01:35.158,js,2024-11-01 16:01:35.158,1595.158,True,,1.0
265,2024-11-01,16:01:35.449,js,2024-11-01 16:01:35.449,1595.449,False,,1.0
266,2024-11-01,16:01:42.250,js,2024-11-01 16:01:42.250,1602.25,True,,1.0
267,2024-11-01,16:01:42.429,js,2024-11-01 16:01:42.429,1602.429,False,,1.0
268,2024-11-01,16:01:43.121,js,2024-11-01 16:01:43.121,1603.121,True,,1.0
269,2024-11-01,16:01:56.381,js,2024-11-01 16:01:56.381,1616.381,False,,1.0
270,2024-11-01,16:01:56.660,js,2024-11-01 16:01:56.660,1616.66,False,,1.0
271,2024-11-01,16:02:07.518,js,2024-11-01 16:02:07.518,1627.518,False,,1.0
272,2024-11-01,16:02:07.742,js,2024-11-01 16:02:07.742,1627.742,True,,1.0
273,2024-11-01,16:02:23.852,js,2024-11-01 16:02:23.852,1643.852,False,,1.0
274,2024-11-01,16:02:34.021,js,2024-11-01 16:02:34.021,1654.021,False,,1.0
275,2024-11-01,16:02:34.254,js,2024-11-01 16:02:34.254,1654.254,False,,1.0
276,2024-11-01,16:02:34.558,js,2024-11-01 16:02:34.558,1654.558,False,,1.0
277,2024-11-01,16:02:48.933,js,2024-11-01 16:02:48.933,1668.933,False,,1.0
278,2024-11-01,16:02:54.042,js,2024-11-01 16:02:54.042,1674.042,False,,1.0
279,2024-11-01,16:03:03.438,js,2024-11-01 16:03:03.438,1683.438,False,,1.0
280,2024-11-01,16:03:13.319,js,2024-11-01 16:03:13.319,1693.319,False,,1.0
281,2024-11-01,16:03:25.882,js,2024-11-01 16:03:25.882,1705.882,True,,1.0
282,2024-11-01,16:03:27.756,js,2024-11-01 16:03:27.756,1707.756,False,,1.0
283,2024-11-01,16:03:28.148,js,2024-11-01 16:03:28.148,1708.148,False,,1.0
284,2024-11-01,16:03:28.558,js,2024-11-01 16:03:28.558,1708.558,False,,1.0
285,2024-11-01,16:03:38.617,js,2024-11-01 16:03:38.617,1718.617,False,,1.0
286,2024-11-01,16:03:38.901,js,2024-11-01 16:03:38.901,1718.901,True,,1.0
287,2024-11-01,16:03:47.426,js,2024-11-01 16:03:47.426,1727.426,True,,1.0
288,2024-11-01,16:03:57.842,js,2024-11-01 16:03:57.842,1737.842,True,,1.0
289,2024-11-01,16:03:58.217,js,2024-11-01 16:03:58.217,1738.217,True,,1.0
290,2024-11-01,16:04:20.036,js,2024-11-01 16:04:20.036,1760.036,True,,1.0
291,2024-11-01,16:04:20.278,js,2024-11-01 16:04:20.278,1760.278,False,,1.0
292,2024-11-01,16:04:21.187,js,2024-11-01 16:04:21.187,1761.187,False,,1.0
