count,date,time,id
15,2024-11-01,16:00:52.950,2
16,2024-11-01,16:00:57.402,2
17,2024-11-01,16:00:57.918,2
18,2024-11-01,16:01:00.653,2
19,2024-11-01,16:01:06.127,2
20,2024-11-01,16:01:07.306,2
21,2024-11-01,16:01:10.823,2
22,2024-11-01,16:01:19.647,2
22,2024-11-01,16:01:19.647,2
23,2024-11-01,16:01:21.440,2
23,2024-11-01,16:01:21.440,2
24,2024-11-01,16:01:22.340,2
24,2024-11-01,16:01:22.340,2
25,2024-11-01,16:01:25.126,2
26,2024-11-01,16:01:38.468,2
27,2024-11-01,16:01:39.126,2
5,2024-11-01,16:02:22.396,1
28,2024-11-01,16:02:31.223,2
29,2024-11-01,16:02:31.365,2
30,2024-11-01,16:02:42.735,2
31,2024-11-01,16:02:47.398,2
6,2024-11-01,16:02:54.131,1
32,2024-11-01,16:02:54.727,2
33,2024-11-01,16:02:54.844,2
